Time,Dialog,Character,LastTime,TimePreWord
33.62696,Want a cup of coffee?,ThisCharacter,5.003136,0.8338559
38.6301,Latte. Thanks. ,MainCharacter,2.799767,0.6999416
41.42986,It’s 3.45 dollars. ,ThisCharacter,8.227577,1.645515
49.65744,Do you have a Reward card? ,ThisCharacter,3.263542,0.4079428
52.92098,Yes … damn. I left it in my house. ,MainCharacter,1.391598,0.1265089
54.31258,Don’t worry. Bring it next time.,ThisCharacter,9.840603,1.4058
64.15318,The reward card is a joke- isn’t it?,ThisCharacter,6.269768,0.6966408
70.42295,The businessman believe it can let people buy more.,ThisCharacter,6.030266,0.6030266
76.45322,But people just forget the card right after they turn around.,ThisCharacter,10.5653,0.8804417
87.01852,Well- I do have the card.,MainCharacter,3.628159,0.5183083
90.64668,And I have already collect 9 seals. ,MainCharacter,3.412674,0.379186
94.05935,Well- man- don’t take it serious. It's just a joke.,ThisCharacter,3.695923,0.335993
97.75527,And- in fact- the reward card always let you buy something you don’t really need. ,ThisCharacter,7.090691,0.4170994
104.846,There is nothing about the money.,MainCharacter,2.861961,0.4088516
107.7079,I’ll be back. Bye.,MainCharacter,1.590408,0.3180817
136.7347,It’s raining. You’ll get wet. ,ThisCharacter,3.164948,0.4521354
139.8997,Stay here until the rain stops. ,ThisCharacter,1.52417,0.1905212
144.3292,It’s raining. You’ll get wet. ,ThisCharacter,3.559662,0.5085231
147.8889,Stay here until the rain stops. ,ThisCharacter,0.3644714,0.04555893
363.4039,Boy- take care.  It’s not fun to play in the rain. ,ThisCharacter,2.634064,0.1881474
366.038,I need to go home. Can you help? ,MainCharacter,1.382477,0.1382477
367.4205,I’m working now. ,ThisCharacter,1.731903,0.3463806
369.1524,But I can send you to the next block. ,ThisCharacter,2.756653,0.2506048
371.909,Thank you.,MainCharacter,0.9851074,0.3283691
374.7446,Why are you hurry to go home?,ThisCharacter,6.187622,0.7734528
380.9323,I forget my reward card. ,MainCharacter,1.200653,0.1715219
382.1329,Hum- a reward card. Is that matter?,ThisCharacter,2.366333,0.2957916
384.4992,You don’t really need a reward card if you want to buy something.,ThisCharacter,1.78949,0.1278207
386.2887,Well- I can get a free coffee if I collected ten seals.,MainCharacter,2.467712,0.189824
388.7564,The free one is a small reward of the life.,MainCharacter,3.199188,0.2908353
391.9556,And it somehow makes the ten before a little bit meaningful. ,MainCharacter,3.980103,0.3061617
402.2736,Well- I can only bring you here. Good Luck.,ThisCharacter,4.141846,0.4141846
