Time,Dialog,Character,LastTime,TimePreWord
4.298683,Want a cup of coffee?,ThisCharacter,0.3814344,0.06357241
4.680117,Latte. Thanks. ,MainCharacter,0.1987467,0.04968667
4.878864,It’s 3.45 dollars. ,ThisCharacter,0.1984534,0.03969068
5.077317,Do you have a Reward card? ,ThisCharacter,0.1490998,0.01863748
5.226417,Yes … damn. I left it in my house. ,MainCharacter,0.1659327,0.01508479
5.39235,Don’t worry. Bring it next time.,ThisCharacter,0.1654935,0.02364193
5.557843,The reward card is a joke- isn’t it?,ThisCharacter,0.1655736,0.01839707
5.723417,The businessman believe it can let people buy more.,ThisCharacter,0.1656671,0.0165667
5.889084,But people just forget the card right after they turn around.,ThisCharacter,0.1491003,0.01242502
6.038184,Well- I do have the card.,MainCharacter,0.1822333,0.02603333
6.220417,And I have already collect 9 seals. ,MainCharacter,0.1656661,0.01840734
6.386084,Well- man- don’t take it serious. It's just a joke.,ThisCharacter,0.1656685,0.01506077
6.551752,And- in fact- the reward card always let you buy something you don’t really need. ,ThisCharacter,0.1490998,0.008770578
6.700852,There is nothing about the money.,MainCharacter,0.1491036,0.02130052
6.849956,I’ll be back. Bye.,MainCharacter,0.1660028,0.03320055
34.07881,Why the rain is Hallucinogenic? ,MainCharacter,0.9769402,0.1395629
35.05575,No one knows.,ThisCharacter,1.22607,0.3065176
36.28182,When it will stop?,MainCharacter,0.8612099,0.172242
37.14303,No one knows. ,ThisCharacter,0.5300751,0.106015
111.9594,Boy- take care.  It’s not fun to play in the rain. ,ThisCharacter,0.9939957,0.07099969
112.9534,I need to go home. Can you help? ,MainCharacter,0.4970016,0.04970016
113.4504,I’m working now. ,ThisCharacter,1.490997,0.2981995
114.9414,But I can send you to the next block. ,ThisCharacter,2.518135,0.2289214
117.4596,Thank you.,MainCharacter,1.143105,0.3810349
153.3904,Why are you hurry to go home?,ThisCharacter,0.7955933,0.09944916
154.186,I forget my reward card. ,MainCharacter,3.147263,0.449609
157.3332,Hum- a reward card. Is that matter?,ThisCharacter,2.833206,0.3541508
160.1664,You don’t really need a reward card if you want to buy something.,ThisCharacter,4.207413,0.3005295
164.3739,Well- I can get a free coffee if I collected ten seals.,MainCharacter,3.826904,0.2943773
168.2008,The free one is a small reward of the life.,MainCharacter,4.895111,0.4450101
173.0959,And it somehow makes the ten before a little bit meaningful. ,MainCharacter,3.876587,0.298199
177.1739,Well- I can only bring you here. Good Luck.,ThisCharacter,2.651535,0.2651535
191.8262,Watch out!,ThisCharacter,1.350021,0.4500071
