Time,Dialog,Character,LastTime,TimePreWord
52.78621,OH HELL. IT RAINS.,MainCharacter,5.185017,1.037003
57.97123,...,ThisCharacter,1.05201,0.5260048
59.02324,I DON'T HAVE AN UMBRELLA WITH ME.,MainCharacter,1.523659,0.1904573
60.54689,IT HAPPENS.,ThisCharacter,1.176231,0.3920771
61.72313,MAYBE YOU WANT TO WAIT TILL THE RAIN STOPS.,ThisCharacter,1.673233,0.1673233
63.39636,HMM- I CANT.,MainCharacter,0.6462135,0.1615534
64.04257,HEADING HOME?  ,ThisCharacter,0.6956863,0.1391373
64.73826,NOT REALLY.,MainCharacter,0.8283386,0.2761129
65.5666,(SIGH) JUST- HEADING BACK. ,MainCharacter,0.8945999,0.1491
105.9014,HELLO.,Girl,1.597473,0.7987366
107.4989,HI.,MainCharacter,1.066032,0.5330162
108.5649,I SAW YOU TRYING TO WALK IN THE RAIN JUST THEN.,Girl,1.853165,0.1544304
110.4181,I- YEAH- (BITTERLY) I DIDN'T MEAN IT.,MainCharacter,1.113663,0.1392078
111.5318,THE RAIN IS TOO HEAVY YOU CAN'T GO LIKE THIS.,Girl,2.47364,0.2248764
114.0054,I KNOW- BUT I DON'T HAVE ONE WITH ME,MainCharacter,1.330246,0.1330246
115.3357,TRY SEE IF ANYONE CAN TAKE YOU.,Girl,1.53476,0.1918449
116.8704,RIGHT.,MainCharacter,0.9653778,0.4826889
120.2235,HEY- YOU ARE BACK,Girl,1.777496,0.3554993
122.001,YEAH. WELL- ARE YOU WAITING FOR SOMEONE IN HERE?,MainCharacter,1.280495,0.1280495
123.2815,I’M HEADING BACK SOON. GOTTA FINISH MY CIGARETTE.,Girl,1.379784,0.1533093
124.6613,OH- SURE. HOPE YOU DON’T MIND.  I’M JUST CURIOUS.,MainCharacter,0.9804688,0.08913352
125.6418,I KNOW IT MAY SEEM WEIRD. BUT …,Girl,0.8780518,0.09756131
126.5198,BUT ? ,MainCharacter,0.6478806,0.1619701
127.1677,NOTHING- I’M KINDA- JUST ENJOYING THE RAIN. BYE.,Girl,1.293861,0.1437624
128.4615,BYE,MainCharacter,0.7641144,0.3820572
147.122,HEY- YOU ARE BACK,Girl,0.9602661,0.1920532
148.0823,YEAH. WELL- ARE YOU WAITING FOR SOMEONE IN HERE?,MainCharacter,0.9111633,0.09111633
148.9934,I’M HEADING BACK SOON. GOTTA FINISH MY CIGARETTE.,Girl,0.9171753,0.1019084
149.9106,OH- SURE. HOPE YOU DON’T MIND.  I’M JUST CURIOUS.,MainCharacter,0.9439545,0.08581404
150.8546,I KNOW IT MAY SEEM WEIRD. BUT …,Girl,0.9277802,0.1030867
151.7823,BUT ? ,MainCharacter,0.4969635,0.1242409
152.2793,NOTHING- I’M KINDA- JUST ENJOYING THE RAIN. BYE.,Girl,0.5639801,0.06266446
152.8433,BYE,MainCharacter,0.7116852,0.3558426
241.7419,You don't have an umbrella?,ThisCharacter,1.688095,0.2813492
243.43,Yes.,MainCharacter,0.8283386,0.4141693
244.2583,Then wait till the rain stops.,ThisCharacter,1.522385,0.2174835
247.3685,You don't have an umbrella?,ThisCharacter,0.7620544,0.1270091
248.1306,Yes.,MainCharacter,0.5632782,0.2816391
248.6939,Then wait till the rain stops.,ThisCharacter,3.633926,0.5191323
285.8145,EXCUSE ME- CAN I WALK WITH YOU?,MainCharacter,1.102448,0.1378059
286.917,I DON‘T HAVE AN UMBRELLA WITH ME,MainCharacter,0.7291565,0.09114456
287.6461,SURE.,ThisCharacter,0.6127625,0.3063812
290.5305,The rain sucks.,MainCharacter,3.876892,0.969223
294.4073,It's not the worst- right?,ThisCharacter,0.7783508,0.1297251
302.3807,How's the day?,MainCharacter,0.03314209,0.008285522
302.4967,It rains in the morning. Then it rains in the afternoon.,ThisCharacter,9.547516,0.7956263
364.2344,Hello?,MainCharacter,0.03314209,0.01657104
364.2675,(Ignore you),ThisCharacter,0.9443054,0.3147685
498.8997,Hello?,MainCharacter,0.4302673,0.2151337
499.5288,(Ignore you),ThisCharacter,0.7785645,0.2595215
500.5909,Could I ...,None,0.6958008,0.1739502
549.424,No. ,None,4.48999,1.496663
555.822,Hello?,MainCharacter,1.573853,0.7869263
557.3959,(Ignore you),ThisCharacter,0.6538696,0.2179565
558.3315,Could I ...,None,3.462402,0.8656006
