Time,Dialog,Character,LastTime,TimePreWord
25.07388,Want a cup of coffee?,ThisCharacter,6.304701,1.050784
31.37858,Latte. Thanks. ,MainCharacter,4.557678,1.13942
35.93626,It’s 3.45 dollars. ,ThisCharacter,6.281361,1.256272
42.21762,Do you have a Reward card? ,ThisCharacter,3.654259,0.4567823
45.87188,Yes … damn. I left it in my house. ,MainCharacter,5.040337,0.4582124
50.91222,Don’t worry. Bring it next time.,ThisCharacter,4.025307,0.5750438
54.93752,The reward card is a joke- isn’t it?,ThisCharacter,3.804543,0.422727
58.74207,The businessman believe it can let people buy more.,ThisCharacter,3.977787,0.3977787
62.71985,But people just forget the card right after they turn around.,ThisCharacter,4.227367,0.3522806
66.94722,Well- I do have the card.,MainCharacter,2.847473,0.4067819
69.79469,And I have already collect 9 seals. ,MainCharacter,3.727905,0.4142117
73.5226,Well- man- don’t take it serious. It's just a joke.,ThisCharacter,4.846878,0.4406253
78.36948,And- in fact- the reward card always let you buy something you don’t really need. ,ThisCharacter,0.649704,0.03821788
79.01918,There is nothing about the money.,MainCharacter,2.903816,0.4148309
81.923,I’ll be back. Bye.,MainCharacter,2.110611,0.4221222
124.614,It’s raining. You’ll get wet. ,ThisCharacter,3.857826,0.551118
128.4718,Stay here until the rain stops. ,ThisCharacter,2.492111,0.3115139
132.7796,It’s raining. You’ll get wet. ,ThisCharacter,0.5895844,0.08422633
133.3692,Stay here until the rain stops. ,ThisCharacter,0.3995056,0.0499382
160.9496,Want a cup of coffee? ,ThisCharacter,1.146057,0.1637224
163.622,Want a cup of coffee? ,ThisCharacter,3.317612,0.4739445
168.1681,Want a cup of coffee? ,ThisCharacter,0.9277344,0.1325335
303.8351,Want a cup of coffee? ,ThisCharacter,1.327515,0.1896449
311.7249,It’s raining. You’ll get wet. ,ThisCharacter,2.440887,0.3486982
314.1658,Stay here until the rain stops. ,ThisCharacter,1.311279,0.1639099
331.6937,Why the rain is Hallucinogenic? ,MainCharacter,3.750305,0.5357579
335.444,No one knows.,ThisCharacter,1.710999,0.4277496
337.155,When it will stop?,MainCharacter,2.261597,0.4523193
339.4166,No one knows. ,ThisCharacter,1.766174,0.3532349
494.7096,Boy- take care.  It’s not fun to play in the rain. ,ThisCharacter,3.610046,0.2578605
498.3197,I need to go home. Can you help? ,MainCharacter,2.594635,0.2594635
500.9143,I’m working now. ,ThisCharacter,1.624451,0.3248901
502.5388,But I can send you to the next block. ,ThisCharacter,1.930054,0.1754594
504.4688,Thank you.,MainCharacter,1.233795,0.411265
